[2026-04-21 02:02:39 UTC] [0002] 2026-03-23 12:02 C=1.15544 | R_MASTER_RESET
[2026-04-21 02:03:29 UTC] [0091] 2026-03-23 13:31 C=1.15884 | KL_FRACTURE score=3.454
[2026-04-21 02:03:29 UTC] [0091] 2026-03-23 13:31 C=1.15884 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:03:30 UTC] [0092] 2026-03-23 13:32 C=1.15866 | R_MASTER_RESET
[2026-04-21 02:03:30 UTC] [0092] 2026-03-23 13:32 C=1.15866 | FVG BEARISH_FVG eq=1.15933
[2026-04-21 02:03:30 UTC] [0092] 2026-03-23 13:32 C=1.15866 | FVG BEARISH_FVG eq=1.15902
[2026-04-21 02:03:30 UTC] [0092] 2026-03-23 13:32 C=1.15866 | FVG BULLISH_FVG eq=1.15860
[2026-04-21 02:03:30 UTC] [0092] 2026-03-23 13:32 C=1.15866 | HARMONIC_TRAP phi=2.676
[2026-04-21 02:03:30 UTC] [0092] 2026-03-23 13:32 C=1.15866 | KL_FRACTURE score=3.284
[2026-04-21 02:03:30 UTC] [0092] 2026-03-23 13:32 C=1.15866 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:03:31 UTC] [0093] 2026-03-23 13:33 C=1.15869 | R_MASTER_RESET
[2026-04-21 02:03:31 UTC] [0093] 2026-03-23 13:33 C=1.15869 | FVG BEARISH_FVG eq=1.15933
[2026-04-21 02:03:31 UTC] [0093] 2026-03-23 13:33 C=1.15869 | FVG BEARISH_FVG eq=1.15902
[2026-04-21 02:03:31 UTC] [0093] 2026-03-23 13:33 C=1.15869 | FVG BULLISH_FVG eq=1.15860
[2026-04-21 02:03:31 UTC] [0093] 2026-03-23 13:33 C=1.15869 | HARMONIC_TRAP phi=2.548
[2026-04-21 02:03:31 UTC] [0093] 2026-03-23 13:33 C=1.15869 | KL_FRACTURE score=3.639
[2026-04-21 02:03:31 UTC] [0093] 2026-03-23 13:33 C=1.15869 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:03:31 UTC] [0094] 2026-03-23 13:34 C=1.15850 | R_MASTER_RESET
[2026-04-21 02:03:31 UTC] [0094] 2026-03-23 13:34 C=1.15850 | FVG BEARISH_FVG eq=1.15933
[2026-04-21 02:03:31 UTC] [0094] 2026-03-23 13:34 C=1.15850 | FVG BEARISH_FVG eq=1.15902
[2026-04-21 02:03:31 UTC] [0094] 2026-03-23 13:34 C=1.15850 | FVG BULLISH_FVG eq=1.15860
[2026-04-21 02:03:31 UTC] [0094] 2026-03-23 13:34 C=1.15850 | HARMONIC_TRAP phi=2.422
[2026-04-21 02:03:31 UTC] [0094] 2026-03-23 13:34 C=1.15850 | KL_FRACTURE score=2.142
[2026-04-21 02:03:31 UTC] [0094] 2026-03-23 13:34 C=1.15850 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:03:32 UTC] [0095] 2026-03-23 13:35 C=1.15818 | R_MASTER_RESET
[2026-04-21 02:03:32 UTC] [0095] 2026-03-23 13:35 C=1.15818 | FVG BEARISH_FVG eq=1.15933
[2026-04-21 02:03:32 UTC] [0095] 2026-03-23 13:35 C=1.15818 | FVG BEARISH_FVG eq=1.15902
[2026-04-21 02:03:32 UTC] [0095] 2026-03-23 13:35 C=1.15818 | FVG BULLISH_FVG eq=1.15860
[2026-04-21 02:03:32 UTC] [0095] 2026-03-23 13:35 C=1.15818 | HARMONIC_TRAP phi=2.307
[2026-04-21 02:03:32 UTC] [0095] 2026-03-23 13:35 C=1.15818 | KL_FRACTURE score=2.179
[2026-04-21 02:03:32 UTC] [0095] 2026-03-23 13:35 C=1.15818 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:03:32 UTC] [0096] 2026-03-23 13:36 C=1.15899 | R_MASTER_RESET
[2026-04-21 02:03:32 UTC] [0096] 2026-03-23 13:36 C=1.15899 | FVG BEARISH_FVG eq=1.15933
[2026-04-21 02:03:32 UTC] [0096] 2026-03-23 13:36 C=1.15899 | FVG BEARISH_FVG eq=1.15902
[2026-04-21 02:03:32 UTC] [0096] 2026-03-23 13:36 C=1.15899 | FVG BULLISH_FVG eq=1.15860
[2026-04-21 02:03:32 UTC] [0096] 2026-03-23 13:36 C=1.15899 | HARMONIC_TRAP phi=2.178
[2026-04-21 02:03:32 UTC] [0096] 2026-03-23 13:36 C=1.15899 | KL_FRACTURE score=2.170
[2026-04-21 02:03:32 UTC] [0096] 2026-03-23 13:36 C=1.15899 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:03:33 UTC] [0097] 2026-03-23 13:37 C=1.15925 | R_MASTER_RESET
[2026-04-21 02:03:33 UTC] [0097] 2026-03-23 13:37 C=1.15925 | FVG BEARISH_FVG eq=1.15902
[2026-04-21 02:03:33 UTC] [0097] 2026-03-23 13:37 C=1.15925 | FVG BULLISH_FVG eq=1.15860
[2026-04-21 02:03:33 UTC] [0097] 2026-03-23 13:37 C=1.15925 | FVG BULLISH_FVG eq=1.15877
[2026-04-21 02:03:33 UTC] [0097] 2026-03-23 13:37 C=1.15925 | HARMONIC_TRAP phi=2.029
[2026-04-21 02:03:33 UTC] [0097] 2026-03-23 13:37 C=1.15925 | KL_FRACTURE score=1.788
[2026-04-21 02:03:33 UTC] [0097] 2026-03-23 13:37 C=1.15925 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:03:33 UTC] [0098] 2026-03-23 13:38 C=1.15938 | R_MASTER_RESET
[2026-04-21 02:03:33 UTC] [0098] 2026-03-23 13:38 C=1.15938 | FVG BULLISH_FVG eq=1.15860
[2026-04-21 02:03:33 UTC] [0098] 2026-03-23 13:38 C=1.15938 | FVG BULLISH_FVG eq=1.15877
[2026-04-21 02:03:33 UTC] [0098] 2026-03-23 13:38 C=1.15938 | FVG BULLISH_FVG eq=1.15913
[2026-04-21 02:03:33 UTC] [0098] 2026-03-23 13:38 C=1.15938 | HARMONIC_TRAP phi=1.873
[2026-04-21 02:03:33 UTC] [0098] 2026-03-23 13:38 C=1.15938 | KL_FRACTURE score=2.872
[2026-04-21 02:03:33 UTC] [0098] 2026-03-23 13:38 C=1.15938 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:03:34 UTC] [0099] 2026-03-23 13:39 C=1.15975 | R_MASTER_RESET
[2026-04-21 02:03:34 UTC] [0099] 2026-03-23 13:39 C=1.15975 | FVG BULLISH_FVG eq=1.15860
[2026-04-21 02:03:34 UTC] [0099] 2026-03-23 13:39 C=1.15975 | FVG BULLISH_FVG eq=1.15877
[2026-04-21 02:03:34 UTC] [0099] 2026-03-23 13:39 C=1.15975 | FVG BULLISH_FVG eq=1.15913
[2026-04-21 02:03:34 UTC] [0099] 2026-03-23 13:39 C=1.15975 | HARMONIC_TRAP phi=1.712
[2026-04-21 02:03:34 UTC] [0099] 2026-03-23 13:39 C=1.15975 | KL_FRACTURE score=3.338
[2026-04-21 02:03:34 UTC] [0099] 2026-03-23 13:39 C=1.15975 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:03:35 UTC] [0100] 2026-03-23 13:40 C=1.15958 | R_MASTER_RESET
[2026-04-21 02:03:35 UTC] [0100] 2026-03-23 13:40 C=1.15958 | FVG BULLISH_FVG eq=1.15860
[2026-04-21 02:03:35 UTC] [0100] 2026-03-23 13:40 C=1.15958 | FVG BULLISH_FVG eq=1.15877
[2026-04-21 02:03:35 UTC] [0100] 2026-03-23 13:40 C=1.15958 | FVG BULLISH_FVG eq=1.15913
[2026-04-21 02:03:35 UTC] [0100] 2026-03-23 13:40 C=1.15958 | KL_FRACTURE score=3.116
[2026-04-21 02:03:35 UTC] [0100] 2026-03-23 13:40 C=1.15958 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:03:35 UTC] [0101] 2026-03-23 13:41 C=1.15977 | R_MASTER_RESET
[2026-04-21 02:03:35 UTC] [0101] 2026-03-23 13:41 C=1.15977 | FVG BULLISH_FVG eq=1.15860
[2026-04-21 02:03:35 UTC] [0101] 2026-03-23 13:41 C=1.15977 | FVG BULLISH_FVG eq=1.15877
[2026-04-21 02:03:35 UTC] [0101] 2026-03-23 13:41 C=1.15977 | FVG BULLISH_FVG eq=1.15913
[2026-04-21 02:03:35 UTC] [0101] 2026-03-23 13:41 C=1.15977 | KL_FRACTURE score=3.551
[2026-04-21 02:03:35 UTC] [0101] 2026-03-23 13:41 C=1.15977 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:03:36 UTC] [0102] 2026-03-23 13:42 C=1.16066 | R_MASTER_RESET
[2026-04-21 02:03:36 UTC] [0102] 2026-03-23 13:42 C=1.16066 | FVG BULLISH_FVG eq=1.15860
[2026-04-21 02:03:36 UTC] [0102] 2026-03-23 13:42 C=1.16066 | FVG BULLISH_FVG eq=1.15877
[2026-04-21 02:03:36 UTC] [0102] 2026-03-23 13:42 C=1.16066 | FVG BULLISH_FVG eq=1.15913
[2026-04-21 02:03:36 UTC] [0102] 2026-03-23 13:42 C=1.16066 | KL_FRACTURE score=3.561
[2026-04-21 02:03:36 UTC] [0102] 2026-03-23 13:42 C=1.16066 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:03:36 UTC] [0103] 2026-03-23 13:43 C=1.16008 | R_MASTER_RESET
[2026-04-21 02:03:36 UTC] [0103] 2026-03-23 13:43 C=1.16008 | FVG BULLISH_FVG eq=1.15860
[2026-04-21 02:03:36 UTC] [0103] 2026-03-23 13:43 C=1.16008 | FVG BULLISH_FVG eq=1.15877
[2026-04-21 02:03:36 UTC] [0103] 2026-03-23 13:43 C=1.16008 | FVG BULLISH_FVG eq=1.15913
[2026-04-21 02:03:36 UTC] [0103] 2026-03-23 13:43 C=1.16008 | KL_FRACTURE score=3.988
[2026-04-21 02:03:36 UTC] [0103] 2026-03-23 13:43 C=1.16008 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:03:37 UTC] [0104] 2026-03-23 13:44 C=1.15909 | R_MASTER_RESET
[2026-04-21 02:03:37 UTC] [0104] 2026-03-23 13:44 C=1.15909 | FVG BULLISH_FVG eq=1.15860
[2026-04-21 02:03:37 UTC] [0104] 2026-03-23 13:44 C=1.15909 | FVG BULLISH_FVG eq=1.15877
[2026-04-21 02:03:37 UTC] [0104] 2026-03-23 13:44 C=1.15909 | FVG BULLISH_FVG eq=1.15913
[2026-04-21 02:03:37 UTC] [0104] 2026-03-23 13:44 C=1.15909 | KL_FRACTURE score=3.543
[2026-04-21 02:03:37 UTC] [0104] 2026-03-23 13:44 C=1.15909 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:03:38 UTC] [0105] 2026-03-23 13:45 C=1.15969 | R_MASTER_RESET
[2026-04-21 02:03:38 UTC] [0105] 2026-03-23 13:45 C=1.15969 | FVG BULLISH_FVG eq=1.15877
[2026-04-21 02:03:38 UTC] [0105] 2026-03-23 13:45 C=1.15969 | FVG BULLISH_FVG eq=1.15913
[2026-04-21 02:03:38 UTC] [0105] 2026-03-23 13:45 C=1.15969 | FVG BEARISH_FVG eq=1.15989
[2026-04-21 02:03:38 UTC] [0105] 2026-03-23 13:45 C=1.15969 | KL_FRACTURE score=3.543
[2026-04-21 02:03:38 UTC] [0105] 2026-03-23 13:45 C=1.15969 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:03:38 UTC] [0106] 2026-03-23 13:46 C=1.15955 | R_MASTER_RESET
[2026-04-21 02:03:38 UTC] [0106] 2026-03-23 13:46 C=1.15955 | FVG BULLISH_FVG eq=1.15877
[2026-04-21 02:03:38 UTC] [0106] 2026-03-23 13:46 C=1.15955 | FVG BULLISH_FVG eq=1.15913
[2026-04-21 02:03:38 UTC] [0106] 2026-03-23 13:46 C=1.15955 | FVG BEARISH_FVG eq=1.15989
[2026-04-21 02:03:38 UTC] [0106] 2026-03-23 13:46 C=1.15955 | KL_FRACTURE score=3.120
[2026-04-21 02:03:38 UTC] [0106] 2026-03-23 13:46 C=1.15955 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:03:39 UTC] [0107] 2026-03-23 13:47 C=1.15930 | R_MASTER_RESET
[2026-04-21 02:03:39 UTC] [0107] 2026-03-23 13:47 C=1.15930 | FVG BULLISH_FVG eq=1.15877
[2026-04-21 02:03:39 UTC] [0107] 2026-03-23 13:47 C=1.15930 | FVG BULLISH_FVG eq=1.15913
[2026-04-21 02:03:39 UTC] [0107] 2026-03-23 13:47 C=1.15930 | FVG BEARISH_FVG eq=1.15989
[2026-04-21 02:03:39 UTC] [0107] 2026-03-23 13:47 C=1.15930 | KL_FRACTURE score=3.097
[2026-04-21 02:03:39 UTC] [0107] 2026-03-23 13:47 C=1.15930 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:03:39 UTC] [0108] 2026-03-23 13:48 C=1.15945 | R_MASTER_RESET
[2026-04-21 02:03:39 UTC] [0108] 2026-03-23 13:48 C=1.15945 | FVG BULLISH_FVG eq=1.15877
[2026-04-21 02:03:39 UTC] [0108] 2026-03-23 13:48 C=1.15945 | FVG BULLISH_FVG eq=1.15913
[2026-04-21 02:03:39 UTC] [0108] 2026-03-23 13:48 C=1.15945 | FVG BEARISH_FVG eq=1.15989
[2026-04-21 02:03:39 UTC] [0108] 2026-03-23 13:48 C=1.15945 | KL_FRACTURE score=2.659
[2026-04-21 02:03:39 UTC] [0108] 2026-03-23 13:48 C=1.15945 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:03:40 UTC] [0109] 2026-03-23 13:49 C=1.16011 | R_MASTER_RESET
[2026-04-21 02:03:40 UTC] [0109] 2026-03-23 13:49 C=1.16011 | FVG BULLISH_FVG eq=1.15877
[2026-04-21 02:03:40 UTC] [0109] 2026-03-23 13:49 C=1.16011 | FVG BULLISH_FVG eq=1.15913
[2026-04-21 02:03:40 UTC] [0109] 2026-03-23 13:49 C=1.16011 | FVG BEARISH_FVG eq=1.15989
[2026-04-21 02:03:40 UTC] [0109] 2026-03-23 13:49 C=1.16011 | KL_FRACTURE score=3.079
[2026-04-21 02:03:40 UTC] [0109] 2026-03-23 13:49 C=1.16011 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:03:40 UTC] [0110] 2026-03-23 13:50 C=1.15974 | R_MASTER_RESET
[2026-04-21 02:03:40 UTC] [0110] 2026-03-23 13:50 C=1.15974 | FVG BULLISH_FVG eq=1.15877
[2026-04-21 02:03:40 UTC] [0110] 2026-03-23 13:50 C=1.15974 | FVG BULLISH_FVG eq=1.15913
[2026-04-21 02:03:40 UTC] [0110] 2026-03-23 13:50 C=1.15974 | FVG BEARISH_FVG eq=1.15989
[2026-04-21 02:03:40 UTC] [0110] 2026-03-23 13:50 C=1.15974 | KL_FRACTURE score=3.500
[2026-04-21 02:03:40 UTC] [0110] 2026-03-23 13:50 C=1.15974 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:03:41 UTC] [0111] 2026-03-23 13:51 C=1.15999 | R_MASTER_RESET
[2026-04-21 02:03:41 UTC] [0111] 2026-03-23 13:51 C=1.15999 | FVG BULLISH_FVG eq=1.15877
[2026-04-21 02:03:41 UTC] [0111] 2026-03-23 13:51 C=1.15999 | FVG BULLISH_FVG eq=1.15913
[2026-04-21 02:03:41 UTC] [0111] 2026-03-23 13:51 C=1.15999 | FVG BEARISH_FVG eq=1.15989
[2026-04-21 02:03:41 UTC] [0111] 2026-03-23 13:51 C=1.15999 | KL_FRACTURE score=3.925
[2026-04-21 02:03:41 UTC] [0111] 2026-03-23 13:51 C=1.15999 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:03:42 UTC] [0112] 2026-03-23 13:52 C=1.16032 | R_MASTER_RESET
[2026-04-21 02:03:42 UTC] [0112] 2026-03-23 13:52 C=1.16032 | FVG BULLISH_FVG eq=1.15877
[2026-04-21 02:03:42 UTC] [0112] 2026-03-23 13:52 C=1.16032 | FVG BULLISH_FVG eq=1.15913
[2026-04-21 02:03:42 UTC] [0112] 2026-03-23 13:52 C=1.16032 | FVG BEARISH_FVG eq=1.15989
[2026-04-21 02:03:42 UTC] [0112] 2026-03-23 13:52 C=1.16032 | KL_FRACTURE score=3.967
[2026-04-21 02:03:42 UTC] [0112] 2026-03-23 13:52 C=1.16032 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:03:42 UTC] [0113] 2026-03-23 13:53 C=1.16029 | R_MASTER_RESET
[2026-04-21 02:03:42 UTC] [0113] 2026-03-23 13:53 C=1.16029 | FVG BULLISH_FVG eq=1.15913
[2026-04-21 02:03:42 UTC] [0113] 2026-03-23 13:53 C=1.16029 | FVG BEARISH_FVG eq=1.15989
[2026-04-21 02:03:42 UTC] [0113] 2026-03-23 13:53 C=1.16029 | FVG BULLISH_FVG eq=1.16005
[2026-04-21 02:03:42 UTC] [0113] 2026-03-23 13:53 C=1.16029 | KL_FRACTURE score=3.980
[2026-04-21 02:03:42 UTC] [0113] 2026-03-23 13:53 C=1.16029 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:03:43 UTC] [0114] 2026-03-23 13:54 C=1.15951 | R_MASTER_RESET
[2026-04-21 02:03:43 UTC] [0114] 2026-03-23 13:54 C=1.15951 | FVG BULLISH_FVG eq=1.15913
[2026-04-21 02:03:43 UTC] [0114] 2026-03-23 13:54 C=1.15951 | FVG BEARISH_FVG eq=1.15989
[2026-04-21 02:03:43 UTC] [0114] 2026-03-23 13:54 C=1.15951 | FVG BULLISH_FVG eq=1.16005
[2026-04-21 02:03:43 UTC] [0114] 2026-03-23 13:54 C=1.15951 | KL_FRACTURE score=3.996
[2026-04-21 02:03:43 UTC] [0114] 2026-03-23 13:54 C=1.15951 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:03:43 UTC] [0115] 2026-03-23 13:55 C=1.15904 | R_MASTER_RESET
[2026-04-21 02:03:43 UTC] [0115] 2026-03-23 13:55 C=1.15904 | FVG BEARISH_FVG eq=1.15989
[2026-04-21 02:03:43 UTC] [0115] 2026-03-23 13:55 C=1.15904 | FVG BULLISH_FVG eq=1.16005
[2026-04-21 02:03:43 UTC] [0115] 2026-03-23 13:55 C=1.15904 | FVG BEARISH_FVG eq=1.15988
[2026-04-21 02:03:43 UTC] [0115] 2026-03-23 13:55 C=1.15904 | KL_FRACTURE score=3.999
[2026-04-21 02:03:43 UTC] [0115] 2026-03-23 13:55 C=1.15904 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:03:44 UTC] [0116] 2026-03-23 13:56 C=1.15941 | R_MASTER_RESET
[2026-04-21 02:03:44 UTC] [0116] 2026-03-23 13:56 C=1.15941 | FVG BULLISH_FVG eq=1.16005
[2026-04-21 02:03:44 UTC] [0116] 2026-03-23 13:56 C=1.15941 | FVG BEARISH_FVG eq=1.15988
[2026-04-21 02:03:44 UTC] [0116] 2026-03-23 13:56 C=1.15941 | FVG BEARISH_FVG eq=1.15950
[2026-04-21 02:03:44 UTC] [0116] 2026-03-23 13:56 C=1.15941 | KL_FRACTURE score=4.036
[2026-04-21 02:03:44 UTC] [0116] 2026-03-23 13:56 C=1.15941 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:03:45 UTC] [0117] 2026-03-23 13:57 C=1.15979 | R_MASTER_RESET
[2026-04-21 02:03:45 UTC] [0117] 2026-03-23 13:57 C=1.15979 | FVG BULLISH_FVG eq=1.16005
[2026-04-21 02:03:45 UTC] [0117] 2026-03-23 13:57 C=1.15979 | FVG BEARISH_FVG eq=1.15988
[2026-04-21 02:03:45 UTC] [0117] 2026-03-23 13:57 C=1.15979 | FVG BEARISH_FVG eq=1.15950
[2026-04-21 02:03:45 UTC] [0117] 2026-03-23 13:57 C=1.15979 | KL_FRACTURE score=4.481
[2026-04-21 02:03:45 UTC] [0117] 2026-03-23 13:57 C=1.15979 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:03:45 UTC] [0118] 2026-03-23 13:58 C=1.15976 | R_MASTER_RESET
[2026-04-21 02:03:45 UTC] [0118] 2026-03-23 13:58 C=1.15976 | FVG BEARISH_FVG eq=1.15988
[2026-04-21 02:03:45 UTC] [0118] 2026-03-23 13:58 C=1.15976 | FVG BEARISH_FVG eq=1.15950
[2026-04-21 02:03:45 UTC] [0118] 2026-03-23 13:58 C=1.15976 | FVG BULLISH_FVG eq=1.15955
[2026-04-21 02:03:45 UTC] [0118] 2026-03-23 13:58 C=1.15976 | KL_FRACTURE score=4.952
[2026-04-21 02:03:45 UTC] [0118] 2026-03-23 13:58 C=1.15976 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:03:46 UTC] [0119] 2026-03-23 13:59 C=1.15996 | R_MASTER_RESET
[2026-04-21 02:03:46 UTC] [0119] 2026-03-23 13:59 C=1.15996 | FVG BEARISH_FVG eq=1.15988
[2026-04-21 02:03:46 UTC] [0119] 2026-03-23 13:59 C=1.15996 | FVG BEARISH_FVG eq=1.15950
[2026-04-21 02:03:46 UTC] [0119] 2026-03-23 13:59 C=1.15996 | FVG BULLISH_FVG eq=1.15955
[2026-04-21 02:03:46 UTC] [0119] 2026-03-23 13:59 C=1.15996 | KL_FRACTURE score=5.409
[2026-04-21 02:03:46 UTC] [0119] 2026-03-23 13:59 C=1.15996 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:03:46 UTC] [0120] 2026-03-23 14:00 C=1.15956 | R_MASTER_RESET
[2026-04-21 02:03:46 UTC] [0120] 2026-03-23 14:00 C=1.15956 | FVG BEARISH_FVG eq=1.15988
[2026-04-21 02:03:46 UTC] [0120] 2026-03-23 14:00 C=1.15956 | FVG BEARISH_FVG eq=1.15950
[2026-04-21 02:03:46 UTC] [0120] 2026-03-23 14:00 C=1.15956 | FVG BULLISH_FVG eq=1.15955
[2026-04-21 02:03:46 UTC] [0120] 2026-03-23 14:00 C=1.15956 | KL_FRACTURE score=3.367
[2026-04-21 02:03:46 UTC] [0120] 2026-03-23 14:00 C=1.15956 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:03:47 UTC] [0121] 2026-03-23 14:01 C=1.16046 | R_MASTER_RESET
[2026-04-21 02:03:47 UTC] [0121] 2026-03-23 14:01 C=1.16046 | FVG BEARISH_FVG eq=1.15988
[2026-04-21 02:03:47 UTC] [0121] 2026-03-23 14:01 C=1.16046 | FVG BEARISH_FVG eq=1.15950
[2026-04-21 02:03:47 UTC] [0121] 2026-03-23 14:01 C=1.16046 | FVG BULLISH_FVG eq=1.15955
[2026-04-21 02:03:47 UTC] [0121] 2026-03-23 14:01 C=1.16046 | KL_FRACTURE score=3.363
[2026-04-21 02:03:47 UTC] [0121] 2026-03-23 14:01 C=1.16046 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:03:47 UTC] [0122] 2026-03-23 14:02 C=1.16080 | R_MASTER_RESET
[2026-04-21 02:03:47 UTC] [0122] 2026-03-23 14:02 C=1.16080 | FVG BEARISH_FVG eq=1.15950
[2026-04-21 02:03:47 UTC] [0122] 2026-03-23 14:02 C=1.16080 | FVG BULLISH_FVG eq=1.15955
[2026-04-21 02:03:47 UTC] [0122] 2026-03-23 14:02 C=1.16080 | FVG BULLISH_FVG eq=1.16005
[2026-04-21 02:03:47 UTC] [0122] 2026-03-23 14:02 C=1.16080 | KL_FRACTURE score=5.334
[2026-04-21 02:03:47 UTC] [0122] 2026-03-23 14:02 C=1.16080 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:03:48 UTC] [0123] 2026-03-23 14:03 C=1.16073 | R_MASTER_RESET
[2026-04-21 02:03:48 UTC] [0123] 2026-03-23 14:03 C=1.16073 | JUDAS_SWING score=70 wick=7.66654
[2026-04-21 02:03:48 UTC] [0123] 2026-03-23 14:03 C=1.16073 | FVG BULLISH_FVG eq=1.15955
[2026-04-21 02:03:48 UTC] [0123] 2026-03-23 14:03 C=1.16073 | FVG BULLISH_FVG eq=1.16005
[2026-04-21 02:03:48 UTC] [0123] 2026-03-23 14:03 C=1.16073 | FVG BULLISH_FVG eq=1.16054
[2026-04-21 02:03:48 UTC] [0123] 2026-03-23 14:03 C=1.16073 | KL_FRACTURE score=5.349
[2026-04-21 02:03:48 UTC] [0123] 2026-03-23 14:03 C=1.16073 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:03:49 UTC] [0124] 2026-03-23 14:04 C=1.16021 | R_MASTER_RESET
[2026-04-21 02:03:49 UTC] [0124] 2026-03-23 14:04 C=1.16021 | FVG BULLISH_FVG eq=1.15955
[2026-04-21 02:03:49 UTC] [0124] 2026-03-23 14:04 C=1.16021 | FVG BULLISH_FVG eq=1.16005
[2026-04-21 02:03:49 UTC] [0124] 2026-03-23 14:04 C=1.16021 | FVG BULLISH_FVG eq=1.16054
[2026-04-21 02:03:49 UTC] [0124] 2026-03-23 14:04 C=1.16021 | KL_FRACTURE score=5.322
[2026-04-21 02:03:49 UTC] [0124] 2026-03-23 14:04 C=1.16021 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:03:49 UTC] [0125] 2026-03-23 14:05 C=1.15960 | R_MASTER_RESET
[2026-04-21 02:03:49 UTC] [0125] 2026-03-23 14:05 C=1.15960 | FVG BULLISH_FVG eq=1.16005
[2026-04-21 02:03:49 UTC] [0125] 2026-03-23 14:05 C=1.15960 | FVG BULLISH_FVG eq=1.16054
[2026-04-21 02:03:49 UTC] [0125] 2026-03-23 14:05 C=1.15960 | FVG BEARISH_FVG eq=1.16038
[2026-04-21 02:03:49 UTC] [0125] 2026-03-23 14:05 C=1.15960 | KL_FRACTURE score=5.331
[2026-04-21 02:03:49 UTC] [0125] 2026-03-23 14:05 C=1.15960 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:03:50 UTC] [0126] 2026-03-23 14:06 C=1.15953 | R_MASTER_RESET
[2026-04-21 02:03:50 UTC] [0126] 2026-03-23 14:06 C=1.15953 | FVG BULLISH_FVG eq=1.16054
[2026-04-21 02:03:50 UTC] [0126] 2026-03-23 14:06 C=1.15953 | FVG BEARISH_FVG eq=1.16038
[2026-04-21 02:03:50 UTC] [0126] 2026-03-23 14:06 C=1.15953 | FVG BEARISH_FVG eq=1.16003
[2026-04-21 02:03:50 UTC] [0126] 2026-03-23 14:06 C=1.15953 | KL_FRACTURE score=5.334
[2026-04-21 02:03:50 UTC] [0126] 2026-03-23 14:06 C=1.15953 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:03:50 UTC] [0127] 2026-03-23 14:07 C=1.16025 | R_MASTER_RESET
[2026-04-21 02:03:50 UTC] [0127] 2026-03-23 14:07 C=1.16025 | FVG BULLISH_FVG eq=1.16054
[2026-04-21 02:03:50 UTC] [0127] 2026-03-23 14:07 C=1.16025 | FVG BEARISH_FVG eq=1.16038
[2026-04-21 02:03:50 UTC] [0127] 2026-03-23 14:07 C=1.16025 | FVG BEARISH_FVG eq=1.16003
[2026-04-21 02:03:50 UTC] [0127] 2026-03-23 14:07 C=1.16025 | KL_FRACTURE score=4.880
[2026-04-21 02:03:50 UTC] [0127] 2026-03-23 14:07 C=1.16025 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:03:51 UTC] [0128] 2026-03-23 14:08 C=1.15975 | R_MASTER_RESET
[2026-04-21 02:03:51 UTC] [0128] 2026-03-23 14:08 C=1.15975 | FVG BULLISH_FVG eq=1.16054
[2026-04-21 02:03:51 UTC] [0128] 2026-03-23 14:08 C=1.15975 | FVG BEARISH_FVG eq=1.16038
[2026-04-21 02:03:51 UTC] [0128] 2026-03-23 14:08 C=1.15975 | FVG BEARISH_FVG eq=1.16003
[2026-04-21 02:03:51 UTC] [0128] 2026-03-23 14:08 C=1.15975 | KL_FRACTURE score=5.306
[2026-04-21 02:03:51 UTC] [0128] 2026-03-23 14:08 C=1.15975 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:03:52 UTC] [0129] 2026-03-23 14:09 C=1.16013 | R_MASTER_RESET
[2026-04-21 02:03:52 UTC] [0129] 2026-03-23 14:09 C=1.16013 | FVG BULLISH_FVG eq=1.16054
